Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
10/28/2020,02/01/2020,10/24/2020,FL,Hendry County,12051,Micropolitan,16,156
10/28/2020,02/01/2020,10/24/2020,FL,Hernando County,12053,Large fringe metro,137,2297
10/28/2020,02/01/2020,10/24/2020,FL,Highlands County,12055,Small metro,110,1422
10/28/2020,02/01/2020,10/24/2020,FL,Hillsborough County,12057,Large central metro,853,10009
10/28/2020,02/01/2020,10/24/2020,FL,Indian River County,12061,Small metro,89,1746
10/28/2020,02/01/2020,10/24/2020,FL,Jackson County,12063,Noncore,53,445
10/28/2020,02/01/2020,10/24/2020,FL,Lake County,12069,Large fringe metro,231,3382
10/28/2020,02/01/2020,10/24/2020,FL,Lee County,12071,Medium metro,474,6188
10/28/2020,02/01/2020,10/24/2020,FL,Leon County,12073,Medium metro,248,2436
10/28/2020,02/01/2020,10/24/2020,FL,Manatee County,12081,Medium metro,341,3634
10/28/2020,02/01/2020,10/24/2020,FL,Marion County,12083,Medium metro,287,4243
10/28/2020,02/01/2020,10/24/2020,FL,Martin County,12085,Medium metro,231,1699
10/28/2020,02/01/2020,10/24/2020,FL,Miami-Dade County,12086,Large central metro,3318,19334
10/28/2020,02/01/2020,10/24/2020,FL,Monroe County,12087,Micropolitan,16,422
10/28/2020,02/01/2020,10/24/2020,FL,Nassau County,12089,Large fringe metro,17,533
10/28/2020,02/01/2020,10/24/2020,FL,Okaloosa County,12091,Small metro,128,1591
10/28/2020,02/01/2020,10/24/2020,FL,Okeechobee County,12093,Micropolitan,29,344
10/28/2020,02/01/2020,10/24/2020,FL,Orange County,12095,Large central metro,664,8207
10/28/2020,02/01/2020,10/24/2020,FL,Osceola County,12097,Large fringe metro,208,2067
10/28/2020,02/01/2020,10/24/2020,FL,Palm Beach County,12099,Large fringe metro,1559,13279
10/28/2020,02/01/2020,10/24/2020,FL,Pasco County,12101,Large fringe metro,187,4961
10/28/2020,02/01/2020,10/24/2020,FL,Pinellas County,12103,Large central metro,785,10273
